name,price,original_price,discount_percentage,rating,product_url,in_stock,positive_seller_rating,details
SKMEI 1787 Creative Fashion Men Stainless Steel Watch - ঘড়ি,374.0,1350.0,72.3,4.0,https://www.daraz.com.bd/products/skmei-1787-i316057897.html,True,,"চাকা ঘুরবে না
Name : Skmei Copy Watch
Frequency length : 22cm
Style : Fashion and casual
movement : QUARTZ
Certificate : CE
Water Resistant Depth : 5Bar
clamp type : Concealed push-button clasp
Origin : CN (origin)
Case Material : alloy fish
Condition : 11mm Contact window
Material type : Hardlex Crystal Watches
Item type : quartz watches
চাকা ঘুরবে না
Skmei 1787 Rotation Wheel Creative Fashion Men Stainless Steel Watch
Brand Name : Skmei Frequency length : 22cm Style : Fashion and casual movement : QUARTZ Certificate : CE Water Resistant Depth : 5Bar clamp type : Concealed push-button clasp Origin : CN (origin) Case Material : alloy fish condition : 11mm Contact window material type : Hardlex Crystal Watches Item type : quartz watches Boxes & Cases Material : with box package Frequency material type : STAINLESS STEEL"
Fabric Canvas Strap Casual Cool Sport Round Dial Wrist Watch,147.0,599.0,75.46,4.794117647058823,https://www.daraz.com.bd/products/fabric-canvas-strap-casual-cool-sport-round-dial-wrist-watch-i368373271.html,True,89%,"Fabric Canvas Strap Casual Cool Sport Round Dial Wrist Watch
specification
Name: Fashion Braided Wristband Nylon Watch
Material: Textile nylon + metal fittings
Category: Watch
Shape: round
Size: The length of the wristband is about 24cm, the diameter of the dial is 4cm
Application: party, fashion collocation, gift giving, etc.
Package includes: 1* watch
#WatchForMen
#Watch
Specifications of Fabric Canvas Strap Casual Cool Sport Round Dial Wrist Watch
Brand No Brand SKU 368373271_BD-1839296059 frame_colour কালো
What’s in the box Fabric Canvas Strap Casual Cool Sport Round Dial Wrist Watch"
2858 European And American Fashion Waterproof Luxury Men'S Quartz Watch - Watch For Men,450.0,1937.0,76.77,4.054054054054054,https://www.daraz.com.bd/products/2858-i331463214.html,True,81%,"Brand: OLEVS
Band Length: 20 cm
Water Resistance Depth: 3Bar
Dial Diameter: 41mm
Bandwidth: 20mm
Case Thickness: 11mm
Style: Fashion and Casual
Movement: QUARTZ
Movement: Double
Certificate: CE
Clasp: Clasps for Bracelets
Origin: CN (Origin)
Housing Material: STAINLESS STEEL
Dial Window Material Type: Hardlex
Item Type: Quartz Wrist Watches
Material of boxes and cases: Paper
Band Material: STAINLESS STEEL
Case Format: ROUND
Olevs 2858 European And American Fashion Waterproof Luxury Men'S Quartz Watch - Watch For Men"
"SKMEI MEN DIGITAL WATCH STAINLESS STEEL CASE DUAL TIME SPORTS WATERPROOF WATCH, 2272",2050.0,4600.0,55.43,4.769230769230769,https://www.daraz.com.bd/products/skmei-2272-i507361784.html,True,92%,"Display Type: ANALOG-DIGITAL
Band Width: 24mm
Case Shape: Square
Boxes & Cases Material: Box
Dial Window Material Type: RESIN
Band Material Type: PU
Dial Diameter: 43.3mm
Water Resistance Depth: 5Bar
Feature: Back Light,Shock Resistant,LED display,Chronograph,Complete Calendar,Multiple Time Zone,Alarm,Week Display
Clasp Type: Buckle
Band Length: 26cm
Case Material: STAINLESS STEEL
Movement: Digital
Brand Name: Skmei
Item Type: Digital Wristwatches
Display Type: ANALOG-DIGITAL
Band Width: 24mm
Case Shape: Square
Boxes & Cases Material: Box
Dial Window Material Type: RESIN
Band Material Type: PU
Dial Diameter: 43.3mm
Water Resistance Depth: 5Bar
Feature: Back Light,Shock Resistant,LED display,Chronograph,Complete Calendar,Multiple Time Zone,Alarm,Week Display
Clasp Type: Buckle
Band Length: 26cm
Case Material: STAINLESS STEEL
Movement: Digital
Brand Name: Skmei
Item Type: Digital Wristwatches"
Sports Digital watch for Boys,227.0,899.0,74.75,4.5,https://www.daraz.com.bd/products/-i320373199.html,True,89%,"- Display Type: Digital Display
- Round Dial
- Band Length: 22cm
- Waterproof performance: 30M (waterproof for life, not for bathing or swimming)
- Strap Material: Rubber
- Type: Digital Wristwatches
- Case Thickness: 16mm
- Quantity: 1Pc
- Dial Diameter: 36mm
- Band Length: 22cm
- Package Included: 1 * Digital Watch
- Multi Functions
- Multi Lighting
D﻿igital Smart looking
Wristwatch , Very Comfortable and Stylish ,High quality straps, High quality
for Low Price,
Waterproof, It have many
Other functions, such as luminous display, time display, week display,
stopwatch, alarm
function . Water Resistance Digital Watch for Boys
Specifications of Sports Digital watch for Boys
Brand No Brand SKU 320373199_BD-1717074561 Strap Material Rubber"
Smart Ladies Kids Waterproof Touch Screen LED Digital Baby Watch for Boys and Girls,55.0,150.0,63.33,4.714285714285714,https://www.daraz.com.bd/products/led-i511825484.html,True,75%,"100% Imported Product
Watch Type: Digital Electronic Watch
Band Material: Rubber/Silicon
Display Type: Touch Screen
Display Material: Fiber
Strap length: 25cm; strap width: 20mm.(Adjustable)
Made in China
Gender: Girls and Boys Both"
Digital standard Transparent watch for boys,186.0,899.0,79.31,5.0,https://www.daraz.com.bd/products/-i320318152.html,True,89%,"- Display Type: Digital Display
- Round Dial
- Band Length: 22cm
- Waterproof performance: 30M (waterproof for life, not for bathing or swimming)
- Strap Material: Rubber
- Type: Digital Wristwatches
- Case Thickness: 16mm
- Quantity: 1Pc
- Dial Diameter: 36mm
- Band Length: 22cm
- Package Included: 1 * Digital Watch
- Multi Functions
- Multi Lighting
D﻿igital Smart looking Wristwatch , Very Comfortable and Stylish ,High quality straps, High quality for Low Price, Waterproof, It have many Other functions, such as luminous display, time display, week display, stopwatch, alarm function . Water Resistance Digital Watch
Specifications of Digital standard Transparent watch for boys
Brand No Brand SKU 320318152_BD-1546637543 Strap Material Rubber Warranty Policy EN 7 days easy return"
Timack® D20 Bluetooth Smart Watch boys and girls Waterproof Sport Fitness Tracker Smart Bracelet Blood Pressure Heart Rate Monitor Y68 Smartwatch,338.0,800.0,57.75,3.972826086956522,https://www.daraz.com.bd/products/d20-y68-i311069627.html,True,74%,"⭐--Plug and play design, plug and play, worry-free charging
⭐--the charging port is a USB interface, remove the wrist strap, you can directly plug into the USB or charging head, simple and convenient.
⭐--optical heart rate sensor, pay attention to your heart rate changes 24 hours a day
⭐--record your every heart rate change on the YouLife APP, outline your heart rate, and present your health and beauty.
⭐--Larger 1.44-inch display screen with larger and clearer characters, high-sensitivity touch
Warm Remind
1. APP Support System: Android 4.4 and above, IOS above 9.0
2. Do not use a charger higher than 5V/2A.
3. The data cannot be used as medical reference.
4. The watch can't touch the hot water because the hot water would cause the watch display get fog.
USB Quick Removal Direct Charge
Brand new bracelet charging method, quick-release detachable wristband design, can be charged by plugging in the USB interface, eliminating the trouble of carrying a charging cable and charging stand.
Smart Life Assistant
The watch can monitor the steps, calories, heart rate, distance, sleep quality, etc. Of the day. At the same time, it can connected to a smart phone to view information, remotely take pictures, retrieve mobile phones and other thoughtful and convenient functions to make your life more convenient.
Practical
Keep abreast of your exercise intensity and physical condition in order to adjust your fitness plan in a timely manner.
Skin-friendly material
The bracelet wristband is made of lightweight skin-friendly soft TPU, which adopts lightweight design, no feeling to wear."
Smart Ladies Kids Waterproof Touch Screen LED Digital Baby Watch for Boys and Girls,125.0,250.0,50.0,4.833333333333333,https://www.daraz.com.bd/products/led-i531503034.html,True,75%,"100% Imported Product
Watch Type: Digital Electronic Watch
Band Material: Rubber/Silicon
Display Type: Touch Screen
Display Material: Fiber
Strap length: 25cm; strap width: 20mm.(Adjustable)
Made in China
Gender: Girls and Boys Both
Specifications of Smart Ladies Kids Waterproof Touch Screen LED Digital Baby Watch for Boys and Girls
Brand No Brand SKU 531503034_BD-2549554449 Strap Material Rubber"
STS01 Special Digital LED Smart Watch for Man and Ladies,115.0,499.0,76.95,3.6666666666666665,https://www.daraz.com.bd/products/sts01-led-i318625945.html,True,75%,"এই ঘড়িতে পানি ঢুকবে না ১০০% ওয়াটারপ্রুফ গ্যারান্টি।
এই ঘড়ির সাথে কোন চার্জার থাকে না ।
ঘড়িটা আপনাকে কখনো চার্জও দেয়া লাগবে না।
এটা একটা স্পেশাল ঘড়ি যা শক্তিশালী ব্যাটারি দুই বছর পর্যন্ত ঘড়িতে চার্জ দেয়া লাগবেনা।
এই স্মার্ট ঘড়িটা আপনি ব্যবহার করলে আপনাকে একটা আর সবার থেকে অবশ্যই আলাদা দেখাবে।
এই ঘড়ির কালারফুল ডিসপ্লে তে আপনি খুব সহজেই সময় তারিখ এবং আরও অসংখ্য ফিচার দেখতে পারবেন।
তাই আর দেরি না করে সুলভ মূল্যে এখনি অর্ডার করুন।
Model: STS01
Strap length: 24.6cm
Strap width: 1.9cm
Dial diameter: 3.5cm
Dial thickness: 1.0cm
Case material: plastic
Strap material: TPU
Clasp Type: Concealed buckle
Product features: LED display, time, date
Package included: 1PC Digital Watches"
